FIPS,State,County,Population_2023
15003,HI,Honolulu County,989408.0
15005,HI,Kalawao County,81.0
15007,HI,Kauai County,73851.0
15009,HI,Maui County,164183.0
16000,ID,Idaho,1964726.0
16001,ID,Ada County,524673.0
16003,ID,Adams County,4903.0
16005,ID,Bannock County,90400.0
16007,ID,Bear Lake County,6766.0
16009,ID,Benewah County,10369.0
16011,ID,Bingham County,50395.0
16013,ID,Blaine County,25041.0
16015,ID,Boise County,8517.0
16017,ID,Bonner County,52547.0
16019,ID,Bonneville County,131366.0
16021,ID,Boundary County,13557.0
16023,ID,Butte County,2758.0
16025,ID,Camas County,1232.0
16027,ID,Canyon County,257674.0
16029,ID,Caribou County,7219.0
16031,ID,Cassia County,25696.0
16033,ID,Clark County,801.0
16035,ID,Clearwater County,9214.0
16037,ID,Custer County,4523.0
16039,ID,Elmore County,29724.0
16041,ID,Franklin County,15494.0
16043,ID,Fremont County,14196.0
16045,ID,Gem County,21071.0
16047,ID,Gooding County,16061.0
16049,ID,Idaho County,17890.0
16051,ID,Jefferson County,34198.0
16053,ID,Jerome County,25479.0
16055,ID,Kootenai County,185010.0
16057,ID,Latah County,41301.0
16059,ID,Lemhi County,8441.0
16061,ID,Lewis County,3739.0
16063,ID,Lincoln County,5450.0
16065,ID,Madison County,54547.0
16067,ID,Minidoka County,22480.0
16069,ID,Nez Perce County,42987.0
16071,ID,Oneida County,4953.0
16073,ID,Owyhee County,12722.0
16075,ID,Payette County,27279.0
16077,ID,Power County,8253.0
16079,ID,Shoshone County,14026.0
16081,ID,Teton County,12549.0
16083,ID,Twin Falls County,95156.0
16085,ID,Valley County,12644.0
16087,ID,Washington County,11425.0
17000,IL,Illinois,12549689.0
17001,IL,Adams County,64441.0
17003,IL,Alexander County,4695.0
17005,IL,Bond County,16450.0
17007,IL,Boone County,53202.0
17009,IL,Brown County,6294.0
17011,IL,Bureau County,32729.0
17013,IL,Calhoun County,4317.0
17015,IL,Carroll County,15526.0
17017,IL,Cass County,12596.0
